t,wall,fl1_hip_roll.pos,fl1_hip_roll.vel,fl1_hip_roll.tau,fl1_hip_roll.temp,fl1_hip_roll.volt,fl1_hip_roll.err,fl2_hip_pitch.pos,fl2_hip_pitch.vel,fl2_hip_pitch.tau,fl2_hip_pitch.temp,fl2_hip_pitch.volt,fl2_hip_pitch.err,fl3_knee_pitch.pos,fl3_knee_pitch.vel,fl3_knee_pitch.tau,fl3_knee_pitch.temp,fl3_knee_pitch.volt,fl3_knee_pitch.err,fl4_foot.pos,fl4_foot.vel,fl4_foot.tau,fl4_foot.temp,fl4_foot.volt,fl4_foot.err,fr1_hip_roll.pos,fr1_hip_roll.vel,fr1_hip_roll.tau,fr1_hip_roll.temp,fr1_hip_roll.volt,fr1_hip_roll.err,fr2_hip_pitch.pos,fr2_hip_pitch.vel,fr2_hip_pitch.tau,fr2_hip_pitch.temp,fr2_hip_pitch.volt,fr2_hip_pitch.err,fr3_knee_pitch.pos,fr3_knee_pitch.vel,fr3_knee_pitch.tau,fr3_knee_pitch.temp,fr3_knee_pitch.volt,fr3_knee_pitch.err,fr4_foot.pos,fr4_foot.vel,fr4_foot.tau,fr4_foot.temp,fr4_foot.volt,fr4_foot.err,bl1_hip_roll.pos,bl1_hip_roll.vel,bl1_hip_roll.tau,bl1_hip_roll.temp,bl1_hip_roll.volt,bl1_hip_roll.err,bl2_hip_pitch.pos,bl2_hip_pitch.vel,bl2_hip_pitch.tau,bl2_hip_pitch.temp,bl2_hip_pitch.volt,bl2_hip_pitch.err,bl3_knee_pitch.pos,bl3_knee_pitch.vel,bl3_knee_pitch.tau,bl3_knee_pitch.temp,bl3_knee_pitch.volt,bl3_knee_pitch.err,bl4_foot.pos,bl4_foot.vel,bl4_foot.tau,bl4_foot.temp,bl4_foot.volt,bl4_foot.err,br1_hip_roll.pos,br1_hip_roll.vel,br1_hip_roll.tau,br1_hip_roll.temp,br1_hip_roll.volt,br1_hip_roll.err,br2_hip_pitch.pos,br2_hip_pitch.vel,br2_hip_pitch.tau,br2_hip_pitch.temp,br2_hip_pitch.volt,br2_hip_pitch.err,br3_knee_pitch.pos,br3_knee_pitch.vel,br3_knee_pitch.tau,br3_knee_pitch.temp,br3_knee_pitch.volt,br3_knee_pitch.err,br4_foot.pos,br4_foot.vel,br4_foot.tau,br4_foot.temp,br4_foot.volt,br4_foot.err,fl1_hip_roll.kp,fl1_hip_roll.kd,fl1_hip_roll.tff,fl2_hip_pitch.kp,fl2_hip_pitch.kd,fl2_hip_pitch.tff,fl3_knee_pitch.kp,fl3_knee_pitch.kd,fl3_knee_pitch.tff,fl4_foot.kp,fl4_foot.kd,fl4_foot.tff,fr1_hip_roll.kp,fr1_hip_roll.kd,fr1_hip_roll.tff,fr2_hip_pitch.kp,fr2_hip_pitch.kd,fr2_hip_pitch.tff,fr3_knee_pitch.kp,fr3_knee_pitch.kd,fr3_knee_pitch.tff,fr4_foot.kp,fr4_foot.kd,fr4_foot.tff,bl1_hip_roll.kp,bl1_hip_roll.kd,bl1_hip_roll.tff,bl2_hip_pitch.kp,bl2_hip_pitch.kd,bl2_hip_pitch.tff,bl3_knee_pitch.kp,bl3_knee_pitch.kd,bl3_knee_pitch.tff,bl4_foot.kp,bl4_foot.kd,bl4_foot.tff,br1_hip_roll.kp,br1_hip_roll.kd,br1_hip_roll.tff,br2_hip_pitch.kp,br2_hip_pitch.kd,br2_hip_pitch.tff,br3_knee_pitch.kp,br3_knee_pitch.kd,br3_knee_pitch.tff,br4_foot.kp,br4_foot.kd,br4_foot.tff
1.000,16:59:37.368,-0.69600,-0.00099,-0.02136,28.0,49.0,1,1.52647,-0.00099,0.03357,31.0,48.0,1,0.34466,-0.00099,0.04578,31.0,49.0,1,2.17880,-0.00229,-0.00534,26.0,49.0,1,0.44385,-0.00099,-0.01526,28.0,48.0,1,-1.56767,-0.00099,-0.00916,32.0,48.0,1,-0.38624,-0.00099,-0.05798,31.0,48.0,1,2.87842,-0.00229,0.00229,27.0,48.0,1,1.21786,-0.00099,0.04578,26.0,48.0,1,-1.67830,-0.00099,0.00916,31.0,49.0,1,-0.21382,-0.00099,0.00305,31.0,48.0,1,0.31949,-0.00229,0.00229,27.0,48.0,1,-0.79938,-0.00099,0.00305,27.0,48.0,1,1.53143,-0.00099,-0.03357,31.0,48.0,1,0.02880,-0.00099,-0.04578,31.0,49.0,1,2.26577,-0.00229,-0.00076,28.0,48.0,1,0.00,0.00,-0.0000,0.00,0.00,-0.0000,0.00,0.00,0.0000,0.00,0.00,-0.0000,0.00,0.00,-0.0000,0.00,0.00,0.0000,0.00,0.00,-0.0000,0.00,0.00,0.0000,0.00,0.00,0.0000,0.00,0.00,-0.0000,0.00,0.00,0.0000,0.00,0.00,-0.0000,0.00,0.00,0.0000,0.00,0.00,0.0000,0.00,0.00,-0.0000,0.00,0.00,0.0000
1.100,16:59:37.468,-0.69600,-0.00099,-0.03357,28.0,49.0,1,1.52647,-0.00099,-0.03967,31.0,48.0,1,0.34466,-0.00099,0.03357,31.0,49.0,1,2.17880,-0.00229,0.00534,26.0,49.0,1,0.44385,-0.00099,0.03357,28.0,48.0,1,-1.56767,-0.00099,0.01526,32.0,48.0,1,-0.38624,-0.00099,0.02747,31.0,49.0,1,2.87842,-0.00229,0.00534,27.0,49.0,1,1.21786,-0.00099,0.00916,26.0,48.0,1,-1.67830,-0.00099,0.03357,31.0,49.0,1,-0.21382,-0.00099,-0.10071,31.0,48.0,1,0.31949,-0.00229,-0.00229,27.0,48.0,1,-0.79938,-0.00099,-0.02136,27.0,48.0,1,1.53143,-0.00099,-0.00305,31.0,48.0,1,0.02880,-0.00099,0.02747,31.0,49.0,1,2.26577,-0.00229,0.00229,28.0,48.0,1,0.00,0.00,-0.0000,0.00,0.00,-0.0000,0.00,0.00,0.0000,0.00,0.00,-0.0000,0.00,0.00,-0.0000,0.00,0.00,0.0000,0.00,0.00,-0.0000,0.00,0.00,0.0000,0.00,0.00,0.0000,0.00,0.00,-0.0000,0.00,0.00,0.0000,0.00,0.00,-0.0000,0.00,0.00,0.0000,0.00,0.00,0.0000,0.00,0.00,-0.0000,0.00,0.00,0.0000
1.200,16:59:37.568,-0.69600,-0.00099,-0.02136,28.0,49.0,1,1.52647,-0.00099,0.00916,31.0,48.0,1,0.34466,-0.00099,-0.02136,31.0,49.0,1,2.17880,-0.00229,-0.00687,26.0,49.0,1,0.44385,-0.00099,0.01526,28.0,48.0,1,-1.56767,-0.00099,-0.02136,32.0,48.0,1,-0.38624,-0.00099,-0.02136,31.0,49.0,1,2.87842,-0.00229,-0.00839,27.0,49.0,1,1.21786,-0.00099,0.03967,26.0,48.0,1,-1.67830,-0.00099,0.07019,31.0,49.0,1,-0.21382,-0.00099,-0.02136,31.0,48.0,1,0.31949,-0.00229,0.00076,27.0,48.0,1,-0.79938,-0.00099,0.02136,27.0,48.0,1,1.53143,-0.00099,-0.04578,31.0,48.0,1,0.02880,-0.00099,0.00305,31.0,49.0,1,2.26577,-0.00229,-0.01297,28.0,48.0,1,0.00,0.00,-0.0000,0.00,0.00,-0.0000,0.00,0.00,0.0000,0.00,0.00,-0.0000,0.00,0.00,-0.0000,0.00,0.00,0.0000,0.00,0.00,-0.0000,0.00,0.00,0.0000,0.00,0.00,0.0000,0.00,0.00,-0.0000,0.00,0.00,0.0000,0.00,0.00,-0.0000,0.00,0.00,0.0000,0.00,0.00,0.0000,0.00,0.00,-0.0000,0.00,0.00,0.0000
1.300,16:59:37.668,-0.69600,-0.00099,-0.03967,28.0,49.0,1,1.52647,-0.00099,0.04578,31.0,48.0,1,0.34466,-0.00099,-0.05188,31.0,49.0,1,2.17880,-0.00229,0.00076,26.0,49.0,1,0.44385,-0.00099,-0.02747,28.0,48.0,1,-1.56767,-0.00099,-0.01526,32.0,48.0,1,-0.38624,-0.00099,-0.03357,31.0,48.0,1,2.87842,-0.00229,-0.01297,27.0,49.0,1,1.21786,-0.00099,-0.01526,26.0,48.0,1,-1.67830,-0.00099,-0.06409,31.0,49.0,1,-0.21382,-0.00099,-0.04578,31.0,48.0,1,0.31949,-0.00229,0.00229,27.0,48.0,1,-0.79938,-0.00099,0.03967,27.0,48.0,1,1.53143,-0.00099,-0.01526,31.0,48.0,1,0.02880,-0.00099,-0.07019,31.0,49.0,1,2.26577,-0.00229,-0.00992,28.0,48.0,1,0.00,0.00,-0.0000,0.00,0.00,-0.0000,0.00,0.00,0.0000,0.00,0.00,-0.0000,0.00,0.00,-0.0000,0.00,0.00,0.0000,0.00,0.00,-0.0000,0.00,0.00,0.0000,0.00,0.00,0.0000,0.00,0.00,-0.0000,0.00,0.00,0.0000,0.00,0.00,-0.0000,0.00,0.00,0.0000,0.00,0.00,0.0000,0.00,0.00,-0.0000,0.00,0.00,0.0000
1.400,16:59:37.768,-0.69600,-0.00099,-0.02136,28.0,49.0,1,1.52647,-0.00099,0.02136,31.0,48.0,1,0.34466,-0.00099,0.08240,31.0,49.0,1,2.17880,-0.00229,-0.00076,26.0,49.0,1,0.44385,-0.00099,-0.00305,28.0,48.0,1,-1.56767,-0.00099,-0.04578,32.0,48.0,1,-0.38624,-0.00099,0.07629,31.0,48.0,1,2.87842,-0.00229,0.00839,27.0,49.0,1,1.21786,-0.00099,-0.00305,26.0,48.0,1,-1.67830,-0.00099,0.04578,31.0,49.0,1,-0.21382,-0.00099,-0.05188,31.0,48.0,1,0.31949,-0.00229,-0.00687,27.0,48.0,1,-0.79938,-0.00099,0.02136,27.0,48.0,1,1.53143,-0.00099,-0.06409,31.0,48.0,1,0.02880,-0.00099,0.00916,31.0,49.0,1,2.26577,-0.00229,-0.01602,28.0,48.0,1,0.00,0.00,-0.0000,0.00,0.00,-0.0000,0.00,0.00,0.0000,0.00,0.00,-0.0000,0.00,0.00,-0.0000,0.00,0.00,0.0000,0.00,0.00,-0.0000,0.00,0.00,0.0000,0.00,0.00,0.0000,0.00,0.00,-0.0000,0.00,0.00,0.0000,0.00,0.00,-0.0000,0.00,0.00,0.0000,0.00,0.00,0.0000,0.00,0.00,-0.0000,0.00,0.00,0.0000
1.500,16:59:37.869,-0.69600,-0.00099,-0.02136,28.0,49.0,1,1.52647,-0.00099,-0.00916,31.0,48.0,1,0.34466,-0.00099,-0.05188,31.0,49.0,1,2.17880,-0.00229,0.00076,26.0,49.0,1,0.44385,-0.00099,0.03967,28.0,48.0,1,-1.56767,-0.00099,-0.05188,32.0,48.0,1,-0.38624,-0.00099,0.00305,31.0,49.0,1,2.87842,-0.00229,0.00992,27.0,49.0,1,1.21786,-0.00099,-0.03967,26.0,48.0,1,-1.67830,-0.00099,0.02747,31.0,49.0,1,-0.21382,-0.00099,-0.06409,31.0,48.0,1,0.31949,-0.00229,0.00229,27.0,48.0,1,-0.79938,-0.00099,-0.01526,27.0,48.0,1,1.53143,-0.00099,-0.00916,31.0,48.0,1,0.02880,-0.00099,0.03967,31.0,49.0,1,2.26577,-0.00229,0.00076,28.0,48.0,1,0.00,0.00,-0.0000,0.00,0.00,-0.0000,0.00,0.00,0.0000,0.00,0.00,-0.0000,0.00,0.00,-0.0000,0.00,0.00,0.0000,0.00,0.00,-0.0000,0.00,0.00,0.0000,0.00,0.00,0.0000,0.00,0.00,-0.0000,0.00,0.00,0.0000,0.00,0.00,-0.0000,0.00,0.00,0.0000,0.00,0.00,0.0000,0.00,0.00,-0.0000,0.00,0.00,0.0000
1.600,16:59:37.968,-0.69600,-0.00099,-0.03967,28.0,49.0,1,1.52647,-0.00099,0.01526,31.0,48.0,1,0.34466,-0.00099,-0.01526,31.0,49.0,1,2.17880,-0.00229,0.00381,26.0,49.0,1,0.44385,-0.00099,0.00916,28.0,48.0,1,-1.56767,-0.00099,-0.00916,32.0,48.0,1,-0.38624,-0.00099,0.01526,31.0,49.0,1,2.87842,-0.00229,-0.00381,27.0,49.0,1,1.21786,-0.00099,-0.03357,26.0,48.0,1,-1.67830,-0.00099,0.01526,31.0,49.0,1,-0.21382,-0.00099,-0.04578,31.0,48.0,1,0.31949,-0.00229,0.00229,27.0,48.0,1,-0.79938,-0.00099,-0.02136,27.0,48.0,1,1.53143,-0.00099,0.01526,31.0,48.0,1,0.02880,-0.00099,-0.08850,31.0,49.0,1,2.26577,-0.00229,-0.00229,28.0,48.0,1,0.00,0.00,-0.0000,0.00,0.00,-0.0000,0.00,0.00,0.0000,0.00,0.00,-0.0000,0.00,0.00,-0.0000,0.00,0.00,0.0000,0.00,0.00,-0.0000,0.00,0.00,0.0000,0.00,0.00,0.0000,0.00,0.00,-0.0000,0.00,0.00,0.0000,0.00,0.00,-0.0000,0.00,0.00,0.0000,0.00,0.00,0.0000,0.00,0.00,-0.0000,0.00,0.00,0.0000
1.700,16:59:38.068,-0.69600,-0.00099,-0.05798,28.0,49.0,1,1.52647,-0.00099,0.02747,31.0,48.0,1,0.34466,-0.00099,-0.01526,31.0,49.0,1,2.17880,-0.00229,-0.00076,26.0,49.0,1,0.44385,-0.00099,-0.07019,28.0,48.0,1,-1.56767,-0.00099,0.01526,32.0,48.0,1,-0.38624,-0.00099,0.03357,31.0,49.0,1,2.87842,-0.00229,-0.02060,27.0,48.0,1,1.21786,-0.00099,-0.00916,26.0,48.0,1,-1.67830,-0.00099,-0.02136,31.0,49.0,1,-0.21382,-0.00099,-0.04578,31.0,48.0,1,0.31949,-0.00229,-0.00076,27.0,48.0,1,-0.79938,-0.00099,0.02747,27.0,48.0,1,1.53143,-0.00099,-0.00916,31.0,48.0,1,0.02880,-0.00099,-0.07629,31.0,49.0,1,2.26577,-0.00229,0.00381,28.0,48.0,1,0.00,0.00,-0.0000,0.00,0.00,-0.0000,0.00,0.00,0.0000,0.00,0.00,-0.0000,0.00,0.00,-0.0000,0.00,0.00,0.0000,0.00,0.00,-0.0000,0.00,0.00,0.0000,0.00,0.00,0.0000,0.00,0.00,-0.0000,0.00,0.00,0.0000,0.00,0.00,-0.0000,0.00,0.00,0.0000,0.00,0.00,0.0000,0.00,0.00,-0.0000,0.00,0.00,0.0000
1.800,16:59:38.168,-0.69600,-0.00099,-0.01526,28.0,49.0,1,1.52647,-0.00099,0.01526,31.0,48.0,1,0.34466,-0.00099,0.00305,31.0,49.0,1,2.17880,-0.00229,0.00534,26.0,49.0,1,0.44385,-0.00099,-0.00305,28.0,48.0,1,-1.56767,-0.00099,0.03357,32.0,48.0,1,-0.38624,-0.00099,-0.05188,31.0,48.0,1,2.87842,-0.00229,0.00229,27.0,49.0,1,1.21786,-0.00099,0.00305,26.0,48.0,1,-1.67830,-0.00099,-0.05798,31.0,49.0,1,-0.21382,-0.00099,-0.01526,31.0,48.0,1,0.31949,-0.00229,-0.00687,27.0,48.0,1,-0.79938,-0.00099,-0.02747,27.0,48.0,1,1.53143,-0.00099,-0.00916,31.0,48.0,1,0.02880,-0.00099,-0.02747,31.0,49.0,1,2.26577,-0.00229,-0.00381,28.0,48.0,1,0.00,0.00,-0.0000,0.00,0.00,-0.0000,0.00,0.00,0.0000,0.00,0.00,-0.0000,0.00,0.00,-0.0000,0.00,0.00,0.0000,0.00,0.00,-0.0000,0.00,0.00,0.0000,0.00,0.00,0.0000,0.00,0.00,-0.0000,0.00,0.00,0.0000,0.00,0.00,-0.0000,0.00,0.00,0.0000,0.00,0.00,0.0000,0.00,0.00,-0.0000,0.00,0.00,0.0000
1.900,16:59:38.268,-0.69600,-0.00099,-0.01526,28.0,49.0,1,1.52647,-0.00099,0.01526,31.0,48.0,1,0.34466,-0.00099,-0.01526,31.0,49.0,1,2.17880,-0.00229,0.00839,26.0,49.0,1,0.44385,-0.00099,-0.02747,28.0,48.0,1,-1.56767,-0.00099,-0.00916,32.0,48.0,1,-0.38624,-0.00099,0.05798,31.0,49.0,1,2.87842,-0.00229,0.00381,27.0,49.0,1,1.21786,-0.00099,0.01526,26.0,48.0,1,-1.67830,-0.00099,0.04578,31.0,49.0,1,-0.21382,-0.00099,-0.02747,31.0,48.0,1,0.31949,-0.00229,0.00076,27.0,48.0,1,-0.79938,-0.00099,-0.02747,27.0,48.0,1,1.53143,-0.00099,0.00305,31.0,48.0,1,0.02880,-0.00099,-0.07629,31.0,49.0,1,2.26577,-0.00229,0.00381,28.0,49.0,1,0.00,0.00,-0.0000,0.00,0.00,-0.0000,0.00,0.00,0.0000,0.00,0.00,-0.0000,0.00,0.00,-0.0000,0.00,0.00,0.0000,0.00,0.00,-0.0000,0.00,0.00,0.0000,0.00,0.00,0.0000,0.00,0.00,-0.0000,0.00,0.00,0.0000,0.00,0.00,-0.0000,0.00,0.00,0.0000,0.00,0.00,0.0000,0.00,0.00,-0.0000,0.00,0.00,0.0000
2.000,16:59:38.368,-0.69600,-0.00099,-0.05798,28.0,49.0,1,1.52647,-0.00099,0.02136,31.0,48.0,1,0.34466,-0.00099,0.04578,31.0,49.0,1,2.17880,-0.00229,0.00076,26.0,49.0,1,0.44385,-0.00099,-0.02136,28.0,48.0,1,-1.56767,-0.00099,0.00305,32.0,48.0,1,-0.38624,-0.00099,-0.02136,31.0,49.0,1,2.87842,-0.00229,0.00076,27.0,49.0,1,1.21786,-0.00099,-0.04578,26.0,48.0,1,-1.67830,-0.00099,0.06409,31.0,49.0,1,-0.21382,-0.00099,-0.02136,31.0,48.0,1,0.31949,-0.00229,-0.01144,27.0,48.0,1,-0.79938,-0.00099,-0.03967,27.0,48.0,1,1.53143,-0.00099,-0.03357,31.0,48.0,1,0.02880,-0.00099,0.02747,31.0,49.0,1,2.26577,-0.00229,-0.00076,28.0,48.0,1,0.00,0.00,-0.0000,0.00,0.00,-0.0000,0.00,0.00,0.0000,0.00,0.00,-0.0000,0.00,0.00,-0.0000,0.00,0.00,0.0000,0.00,0.00,-0.0000,0.00,0.00,0.0000,0.00,0.00,0.0000,0.00,0.00,-0.0000,0.00,0.00,0.0000,0.00,0.00,-0.0000,0.00,0.00,0.0000,0.00,0.00,0.0000,0.00,0.00,-0.0000,0.00,0.00,0.0000
2.100,16:59:38.468,-0.69600,-0.00099,-0.02747,28.0,48.0,1,1.52647,-0.00099,0.00305,31.0,48.0,1,0.34466,-0.00099,0.05798,31.0,48.0,1,2.17880,-0.00229,0.00229,26.0,48.0,1,0.44385,-0.00099,-0.00305,28.0,48.0,1,-1.56767,-0.00099,-0.02136,32.0,48.0,1,-0.38624,-0.00099,-0.00916,31.0,48.0,1,2.87842,-0.00229,-0.00076,27.0,48.0,1,1.21786,-0.00099,-0.00305,26.0,48.0,1,-1.67830,-0.00099,0.00305,31.0,48.0,1,-0.21382,-0.00099,-0.07629,31.0,48.0,1,0.31949,-0.00229,-0.00381,27.0,48.0,1,-0.79938,-0.00099,0.03357,27.0,48.0,1,1.53143,-0.00099,-0.02747,31.0,48.0,1,0.02880,-0.00099,-0.01526,31.0,48.0,1,2.26577,-0.00229,-0.00381,28.0,48.0,1,0.00,0.00,-0.0000,0.00,0.00,-0.0000,0.00,0.00,0.0000,0.00,0.00,-0.0000,0.00,0.00,-0.0000,0.00,0.00,0.0000,0.00,0.00,-0.0000,0.00,0.00,0.0000,0.00,0.00,0.0000,0.00,0.00,-0.0000,0.00,0.00,0.0000,0.00,0.00,-0.0000,0.00,0.00,0.0000,0.00,0.00,0.0000,0.00,0.00,-0.0000,0.00,0.00,0.0000
2.200,16:59:38.567,-0.69600,-0.00099,-0.00305,28.0,49.0,1,1.52647,-0.00099,0.01526,31.0,48.0,1,0.34466,-0.00099,-0.00916,31.0,49.0,1,2.17880,-0.00229,0.00534,26.0,49.0,1,0.44385,-0.00099,0.01526,28.0,48.0,1,-1.56767,-0.00099,-0.01526,32.0,48.0,1,-0.38624,-0.00099,0.03967,31.0,49.0,1,2.87842,-0.00229,0.01144,27.0,48.0,1,1.21786,-0.00099,0.01526,26.0,48.0,1,-1.67830,-0.00099,0.02136,31.0,49.0,1,-0.21382,-0.00099,-0.08240,31.0,48.0,1,0.31949,-0.00229,0.01450,27.0,48.0,1,-0.79938,-0.00099,0.00916,27.0,48.0,1,1.53143,-0.00099,-0.02747,31.0,48.0,1,0.02880,-0.00099,0.06409,31.0,49.0,1,2.26577,-0.00229,-0.00687,28.0,48.0,1,0.00,0.00,-0.0000,0.00,0.00,-0.0000,0.00,0.00,0.0000,0.00,0.00,-0.0000,0.00,0.00,-0.0000,0.00,0.00,0.0000,0.00,0.00,-0.0000,0.00,0.00,0.0000,0.00,0.00,0.0000,0.00,0.00,-0.0000,0.00,0.00,0.0000,0.00,0.00,-0.0000,0.00,0.00,0.0000,0.00,0.00,0.0000,0.00,0.00,-0.0000,0.00,0.00,0.0000
2.300,16:59:38.667,-0.69600,-0.00099,-0.05188,28.0,49.0,1,1.52647,-0.00099,0.00305,31.0,48.0,1,0.34466,-0.00099,0.08240,31.0,49.0,1,2.17880,-0.00229,0.00076,26.0,49.0,1,0.44385,-0.00099,0.00305,28.0,48.0,1,-1.56767,-0.00099,-0.00916,32.0,48.0,1,-0.38624,-0.00099,-0.02136,31.0,49.0,1,2.87842,-0.00229,-0.00687,27.0,48.0,1,1.21786,-0.00099,0.08240,26.0,48.0,1,-1.67830,-0.00099,-0.01526,31.0,49.0,1,-0.21382,-0.00099,-0.05798,31.0,48.0,1,0.31949,-0.00229,-0.00229,27.0,48.0,1,-0.79938,-0.00099,0.00305,27.0,48.0,1,1.53143,-0.00099,-0.00305,31.0,48.0,1,0.02880,-0.00099,-0.01526,31.0,49.0,1,2.26577,-0.00229,-0.00687,28.0,48.0,1,0.00,0.00,-0.0000,0.00,0.00,-0.0000,0.00,0.00,0.0000,0.00,0.00,-0.0000,0.00,0.00,-0.0000,0.00,0.00,0.0000,0.00,0.00,-0.0000,0.00,0.00,0.0000,0.00,0.00,0.0000,0.00,0.00,-0.0000,0.00,0.00,0.0000,0.00,0.00,-0.0000,0.00,0.00,0.0000,0.00,0.00,0.0000,0.00,0.00,-0.0000,0.00,0.00,0.0000
2.400,16:59:38.767,-0.69600,-0.00099,-0.02747,28.0,49.0,1,1.52647,-0.00099,0.00305,31.0,48.0,1,0.34466,-0.00099,-0.03357,31.0,49.0,1,2.17880,-0.00229,-0.00534,26.0,49.0,1,0.44385,-0.00099,-0.05188,28.0,48.0,1,-1.56767,-0.00099,-0.01526,32.0,48.0,1,-0.38624,-0.00099,-0.03357,31.0,49.0,1,2.87842,-0.00229,-0.00534,27.0,49.0,1,1.21786,-0.00099,-0.01526,26.0,48.0,1,-1.67830,-0.00099,0.02136,31.0,49.0,1,-0.21382,-0.00099,-0.03357,31.0,48.0,1,0.31949,-0.00229,0.00534,27.0,48.0,1,-0.79938,-0.00099,-0.01526,27.0,48.0,1,1.53143,-0.00099,-0.02136,31.0,48.0,1,0.02880,-0.00099,-0.00305,31.0,49.0,1,2.26577,-0.00229,-0.00229,28.0,48.0,1,0.00,0.00,-0.0000,0.00,0.00,-0.0000,0.00,0.00,0.0000,0.00,0.00,-0.0000,0.00,0.00,-0.0000,0.00,0.00,0.0000,0.00,0.00,-0.0000,0.00,0.00,0.0000,0.00,0.00,0.0000,0.00,0.00,-0.0000,0.00,0.00,0.0000,0.00,0.00,-0.0000,0.00,0.00,0.0000,0.00,0.00,0.0000,0.00,0.00,-0.0000,0.00,0.00,0.0000
2.500,16:59:38.868,-0.69600,-0.00099,-0.01526,28.0,49.0,1,1.52647,-0.00099,-0.02136,31.0,48.0,1,0.34466,-0.00099,0.02747,31.0,49.0,1,2.17880,-0.00229,0.00839,26.0,49.0,1,0.44385,-0.00099,-0.00916,28.0,48.0,1,-1.56767,-0.00099,0.00916,32.0,48.0,1,-0.38624,-0.00099,0.02136,31.0,49.0,1,2.87842,-0.00229,-0.00381,27.0,49.0,1,1.21786,-0.00099,-0.03357,26.0,48.0,1,-1.67830,-0.00099,0.06409,31.0,49.0,1,-0.21382,-0.00099,-0.03357,31.0,48.0,1,0.31949,-0.00229,0.01450,27.0,48.0,1,-0.79938,-0.00099,0.00305,27.0,48.0,1,1.53143,-0.00099,-0.06409,31.0,48.0,1,0.02880,-0.00099,-0.00305,31.0,49.0,1,2.26577,-0.00229,-0.00076,28.0,48.0,1,0.00,0.00,-0.0000,0.00,0.00,-0.0000,0.00,0.00,0.0000,0.00,0.00,-0.0000,0.00,0.00,-0.0000,0.00,0.00,0.0000,0.00,0.00,-0.0000,0.00,0.00,0.0000,0.00,0.00,0.0000,0.00,0.00,-0.0000,0.00,0.00,0.0000,0.00,0.00,-0.0000,0.00,0.00,0.0000,0.00,0.00,0.0000,0.00,0.00,-0.0000,0.00,0.00,0.0000
2.600,16:59:38.968,-0.69600,-0.00099,-0.06409,28.0,49.0,1,1.52647,-0.00099,0.01526,31.0,48.0,1,0.34466,-0.00099,0.04578,31.0,49.0,1,2.17880,-0.00229,-0.00534,26.0,49.0,1,0.44385,-0.00099,0.03967,28.0,48.0,1,-1.56767,-0.00099,-0.00305,32.0,48.0,1,-0.38624,-0.00099,0.05798,31.0,49.0,1,2.87842,-0.00229,0.00381,27.0,49.0,1,1.21786,-0.00099,0.00305,26.0,48.0,1,-1.67830,-0.00099,-0.02136,31.0,49.0,1,-0.21382,-0.00099,-0.01526,31.0,48.0,1,0.31949,-0.00229,0.00687,27.0,48.0,1,-0.79938,-0.00099,-0.00305,27.0,48.0,1,1.53143,-0.00099,-0.01526,31.0,48.0,1,0.02880,-0.00099,0.06409,31.0,49.0,1,2.26577,-0.00229,-0.01297,28.0,48.0,1,0.00,0.00,-0.0000,0.00,0.00,-0.0000,0.00,0.00,0.0000,0.00,0.00,-0.0000,0.00,0.00,-0.0000,0.00,0.00,0.0000,0.00,0.00,-0.0000,0.00,0.00,0.0000,0.00,0.00,0.0000,0.00,0.00,-0.0000,0.00,0.00,0.0000,0.00,0.00,-0.0000,0.00,0.00,0.0000,0.00,0.00,0.0000,0.00,0.00,-0.0000,0.00,0.00,0.0000
2.700,16:59:39.068,-0.69600,-0.00099,0.00305,28.0,49.0,1,1.52647,-0.00099,-0.00305,31.0,48.0,1,0.34466,-0.00099,-0.02136,31.0,49.0,1,2.17880,-0.00229,-0.00229,26.0,49.0,1,0.44385,-0.00099,0.01526,28.0,48.0,1,-1.56767,-0.00099,-0.02747,32.0,48.0,1,-0.38624,-0.00099,-0.01526,31.0,49.0,1,2.87842,-0.00229,-0.00381,27.0,49.0,1,1.21786,-0.00099,0.03967,26.0,48.0,1,-1.67830,-0.00099,0.01526,31.0,49.0,1,-0.21382,-0.00099,-0.01526,31.0,48.0,1,0.31949,-0.00229,-0.00687,27.0,48.0,1,-0.79938,-0.00099,0.06409,27.0,48.0,1,1.53143,-0.00099,0.01526,31.0,48.0,1,0.02880,-0.00099,-0.10681,31.0,49.0,1,2.26577,-0.00229,-0.00381,28.0,48.0,1,0.00,0.00,-0.0000,0.00,0.00,-0.0000,0.00,0.00,0.0000,0.00,0.00,-0.0000,0.00,0.00,-0.0000,0.00,0.00,0.0000,0.00,0.00,-0.0000,0.00,0.00,0.0000,0.00,0.00,0.0000,0.00,0.00,-0.0000,0.00,0.00,0.0000,0.00,0.00,-0.0000,0.00,0.00,0.0000,0.00,0.00,0.0000,0.00,0.00,-0.0000,0.00,0.00,0.0000
